month,animals,unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
M12,A3100,THS_HD,HR	1230.70 	1233.40 	1182.00 	1110.00 	1156.00 	1167.00 	1163.00 	1121.00 	1049.00 	1022.00 	1033.00 	963.00 p
M12,A3100,THS_HD,HU	3169.00 	3044.00 	2989.00 	3004.00 	3136.00 	3124.00 	2907.00 	2870.00 	2872.00 	2634.00 	2850.00 	2725.90 
M12,A3100,THS_HD,IE	1500.45 	1552.93 	1493.49 	1469.09 	1505.66 	1474.54 	1527.83 	1616.36 	1572.15 	1613.27 	1678.57 	1713.59 
M12,A3100,THS_HD,IS	: 	38.20 	36.30 	36.30 	36.50 e	36.40 e	38.00 	37.00 	36.00 	35.00 	: 	: 
M12,A3100,THS_HD,IT	739.09 	9350.78 	8661.53 	8561.28 	8676.10 	8674.79 	8477.93 	8570.75 	8492.23 	8510.27 	8543.03 	8407.97 
M12,A3100,THS_HD,LT	929.40 	790.30 	807.50 	754.60 	714.20 	687.80 	663.90 	611.90 	572.00 	550.80 	580.40 	573.80 p
M12,A3100,THS_HD,LU	89.39 	91.25 	88.61 	89.55 	92.69 	88.50 	95.48 	90.94 	82.59 	84.04 	82.13 	78.33 
M12,A3100,THS_HD,LV	389.74 	374.98 	355.22 	367.54 	349.43 	334.16 	336.39 	320.56 	304.90 	314.20 	306.82 	325.16 p
M12,A3100,THS_HD,ME	: 	: 	18.45 	21.00 	22.00 	25.00 	55.00 p	25.00 p	23.60 p	23.00 p	: 	: 
M12,A3100,THS_HD,MK	: 	: 	152.00 	167.00 	165.00 	195.00 	203.00 	202.00 	196.00 	136.00 	164.00 	: 
M12,A3100,THS_HD,MT	69.28 	46.29 	45.21 	49.45 	47.47 	43.63 	40.60 	34.01 	36.29 	35.48 	40.09 	40.05 
M12,A3100,THS_HD,NL	12206.00 	12103.00 	12104.00 	12013.00 	12065.00 	12453.00 	11881.00 	12296.00 	11909.00 	11921.00 	11541.00 	10872.00 
M12,A3100,THS_HD,PL	14775.69 	13056.41 	11132.18 	10994.40 	11265.65 	10590.20 	11106.70 	11908.20 	11027.70 	11215.50 	11727.40 	10242.40 p
M12,A3100,THS_HD,PT	1917.30 	1985.03 	2024.12 	2014.38 	2126.91 	2247.33 	2151.16 	2165.31 	2205.05 	2255.87 	2251.97 	2221.02 p
M12,A3100,THS_HD,RO	5428.30 	5363.80 	5234.30 	5180.20 	5041.70 	4926.90 	4707.70 	4406.00 	3925.30 	3834.10 	3750.40 	3764.80 p
M12,A3100,THS_HD,RS	3489.00 	3287.00 	3139.00 e	3144.00 	3236.00 	3284.00 	3021.00 	2911.00 	2782.00 	2903.00 	2983.00 	2868.00 
M12,A3100,THS_HD,SE	1607.00 	1567.70 	1473.70 	1480.40 	1457.90 	1435.30 	1436.40 	1382.30 	1417.20 	1481.20 	1389.30 	1372.50 
M12,A3100,THS_HD,SI	395.59 	347.31 	296.10 	288.35 	281.68 	271.39 	265.74 	257.24 	259.13 	240.14 	229.48 	215.71 p
M12,A3100,THS_HD,SK	687.26 	580.39 	631.44 	637.17 	641.83 	633.11 e	585.84 	614.38 	627.02 	589.23 	538.31 	447.89 p
M12,A3100,THS_HD,UK	4385.00 	4326.00 	4216.00 	4383.00 	4510.00 	4422.00 	4538.00 	4713.00 	4648.00 	4741.00 	: 	: 
M12,A3100,THS_HD,XK	: 	: 	: 	: 	: 	44.15 	42.31 	41.09 	40.16 	40.53 	45.39 	: 
